*;Techniczny;Czestochowa;3 - 5 letters;*;10 - 15
*;Techniczny;Glubczyce;6 - 8 letters;*;45 - 47
*;Techniczny;Wroclaw;6 - 8 letters;*;17 - 22
*;Techniczny;Wyszkow;3 - 5 letters;*;24
*;Techniczny;Wyszkow;3 - 5 letters;*;31 - 32
*;Artystyczny;Gdansk;6 - 8 letters;Kowa...;28 - 30
*;Artystyczny;Rybnik;6 - 8 letters;Kowa...;28 - 30
*;Artystyczny;Glubczyce;6 - 8 letters;Kowa...;37 - 43
*;Artystyczny;Olawa;3 - 5 letters;Kowa...;37 - 43
*;Artystyczny;Swidnica;3 - 5 letters;Kowa...;54 - 90
*;Nauczyciel;Swidnica;3 - 5 letters;Kowa...;24
*;Nauczyciel;Glubczyce;6 - 8 letters;Kowa...;25 - 26
*;Nauczyciel;Gdansk;6 - 8 letters;Kowa...;25 - 26
*;Nauczyciel;Warszawa;6 - 8 letters;Kowa...;50 - 53
*;Nauczyciel;Sopot;3 - 5 letters;Kowa...;54 - 90
*;Sluzba mundurowa;Gdansk;6 - 8 letters;Kowa...;17 - 22
*;Sluzba mundurowa;Sopot;3 - 5 letters;Kowa...;23
*;Sluzba mundurowa;Rybnik;6 - 8 letters;Kowa...;23
*;Sluzba mundurowa;Olawa;6 - 8 letters;Kowa...;31 - 32
*;Sluzba mundurowa;Gdansk;6 - 8 letters;Kowa...;45 - 47
*;Techniczny;Katowice;3 - 5 letters;Kowa...;10 - 15
*;Techniczny;Lubin;3 - 5 letters;Kowa...;10 - 15
*;Techniczny;Sopot;6 - 8 letters;Kowa...;17 - 22
*;Techniczny;Siedlce;6 - 8 letters;Kowa...;17 - 22
*;Techniczny;Lubin;3 - 5 letters;Kowa...;23
*;Techniczny;Swidnica;3 - 5 letters;Kowa...;28 - 30
*;Artystyczny;Lipsko;6 - 8 letters;Mali...;10 - 15
*;Artystyczny;Puck;6 - 8 letters;Mali...;25 - 26
*;Nauczyciel;Warszawa;6 - 8 letters;Mali...;23
*;Nauczyciel;Lipsko;6 - 8 letters;Mali...;25 - 26
*;Nauczyciel;Warszawa;3 - 5 letters;Mali...;37 - 43
*;Sluzba mundurowa;Puck;3 - 5 letters;Mali...;24
*;Techniczny;Wroclaw;3 - 5 letters;Mali...;10 - 15
*;Techniczny;Zabrze;6 - 8 letters;Mali...;24
*;Techniczny;Zabrze;3 - 5 letters;Mali...;31 - 32
*;Artystyczny;Ciechanow;3 - 5 letters;Nowa...;17 - 22
*;Artystyczny;Olawa;6 - 8 letters;Nowa...;25 - 26
*;Artystyczny;Olawa;6 - 8 letters;Nowa...;37 - 43
*;Artystyczny;Wroclaw;6 - 8 letters;Nowa...;50 - 53
*;Artystyczny;Rybnik;6 - 8 letters;Nowa...;54 - 90
*;Nauczyciel;Wroclaw;6 - 8 letters;Nowa...;37 - 43
*;Nauczyciel;Ciechanow;6 - 8 letters;Nowa...;45 - 47
*;Nauczyciel;Warszawa;6 - 8 letters;Nowa...;45 - 47
*;Nauczyciel;Warszawa;6 - 8 letters;Nowa...;54 - 90
*;Techniczny;Wroclaw;3 - 5 letters;Nowa...;10 - 15
*;Techniczny;Wroclaw;3 - 5 letters;Nowa...;17 - 22
*;Techniczny;Warszawa;3 - 5 letters;Nowa...;28 - 30
*;Techniczny;Wroclaw;3 - 5 letters;Nowa...;31 - 32
*;Artystyczny;Wroclaw;6 - 8 letters;Szymansk...;50 - 53
*;Artystyczny;Wroclaw;6 - 8 letters;Szymansk...;50 - 53
*;Artystyczny;Lubin;6 - 8 letters;Szymansk...;54 - 90
*;Nauczyciel;Wroclaw;6 - 8 letters;Szymansk...;33 - 36
*;Sluzba mundurowa;Wroclaw;3 - 5 letters;Szymansk...;31 - 32
*;Techniczny;Wroclaw;6 - 8 letters;Szymansk...;24
*;Techniczny;Lubin;3 - 5 letters;Szymansk...;33 - 36
*;Artystyczny;Namyslow;6 - 8 letters;Wojci...;23
*;Artystyczny;Olawa;3 - 5 letters;Wojci...;37 - 43
*;Nauczyciel;Gdynia;3 - 5 letters;Wojci...;33 - 36
*;Sluzba mundurowa;Olawa;3 - 5 letters;Wojci...;37 - 43
*;Techniczny;Gdynia;3 - 5 letters;Wojci...;33 - 36
